Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Piacenza,1,2020-02-24,1,1,0,0,0.0,0.34824761798629306
Piacenza,2,2020-02-25,17,18,1,1,0.0555555555555556,6.26845712375327
Piacenza,3,2020-02-26,10,28,0,1,0.0357142857142857,9.750933303616199
Piacenza,4,2020-02-27,35,63,1,2,0.0317460317460317,21.939599933136506
Piacenza,5,2020-02-28,26,89,1,3,0.0337078651685393,30.9940380007801
Piacenza,6,2020-02-29,49,138,1,4,0.0289855072463768,48.058171282108404
Piacenza,7,2020-03-01,36,174,1,5,0.028735632183908,60.595085529615
Piacenza,8,2020-03-02,38,212,1,6,0.0283018867924528,73.8284950130941
Piacenza,9,2020-03-03,44,256,6,12,0.046875,89.15139020449102
Piacenza,10,2020-03-04,63,319,3,15,0.0470219435736677,111.09099013762699
Piacenza,11,2020-03-05,59,378,5,20,0.0529100529100529,131.637599598819
Piacenza,12,2020-03-06,48,426,5,25,0.0586854460093897,148.353485262161
Piacenza,13,2020-03-07,53,479,6,31,0.0647181628392484,166.810609015434
Piacenza,14,2020-03-08,49,528,7,38,0.071969696969697,183.874742296763
Piacenza,15,2020-03-09,74,602,8,46,0.0764119601328904,209.645066027748
Piacenza,16,2020-03-10,31,633,6,52,0.0821484992101106,220.440742185323
Piacenza,17,2020-03-11,31,664,13,65,0.0978915662650602,231.23641834289901
Piacenza,18,2020-03-12,15,679,15,80,0.117820324005891,236.46013261269297
Piacenza,19,2020-03-13,31,710,14,94,0.13239436619718306,247.25580877026798
Piacenza,20,2020-03-14,143,853,24,118,0.138335287221571,297.055218142308
Piacenza,21,2020-03-15,159,1012,24,142,0.14031620553359694,352.4265894021289
Piacenza,22,2020-03-16,61,1073,23,165,0.153774464119292,373.669694099292
Piacenza,23,2020-03-17,131,1204,26,191,0.158637873754153,419.290132055497
Piacenza,24,2020-03-18,136,1340,12,203,0.151492537313433,466.651808101633
Piacenza,25,2020-03-19,88,1428,29,232,0.162464985994398,497.297598484426
Piacenza,26,2020-03-20,147,1575,27,259,0.164444444444444,548.489998328411
Piacenza,27,2020-03-21,118,1693,24,283,0.167158889545186,589.583217250794
Piacenza,28,2020-03-22,72,1765,33,316,0.179036827195467,614.6570457458071
Piacenza,29,2020-03-23,120,1885,26,342,0.181432360742706,656.446759904162
Piacenza,30,2020-03-24,96,1981,30,372,0.187783947501262,689.878531230846
Piacenza,31,2020-03-25,141,2122,23,395,0.1861451460885961,738.981445366914
Piacenza,32,2020-03-26,91,2213,29,424,0.19159511974695,770.6719786036659
Piacenza,33,2020-03-27,63,2276,25,449,0.197275922671353,792.611578536803
Piacenza,34,2020-03-28,114,2390,22,471,0.19707112970711305,832.31180698724
Piacenza,35,2020-03-29,85,2475,26,497,0.20080808080808105,861.912854516075
Piacenza,36,2020-03-30,41,2516,21,518,0.20588235294117604,876.191006853513
Piacenza,37,2020-03-31,119,2635,27,545,0.206831119544592,917.632473393882
Piacenza,38,2020-04-01,81,2716,25,570,0.20986745213549304,945.8405304507719
Piacenza,39,2020-04-02,49,2765,19,589,0.213019891500904,962.9046637321001
Piacenza,40,2020-04-03,46,2811,18,607,0.215937388829598,978.92405415947
Piacenza,41,2020-04-04,31,2842,12,619,0.21780436312456,989.719730317045
Piacenza,42,2020-04-05,50,2892,15,634,0.219225449515906,1007.13211121636
Piacenza,43,2020-04-06,44,2936,10,644,0.219346049046322,1022.45500640776
Piacenza,44,2020-04-07,17,2953,13,657,0.222485607856417,1028.37521591352
Piacenza,45,2020-04-08,27,2980,11,668,0.22416107382550304,1037.77790159915
Piacenza,46,2020-04-09,40,3020,13,681,0.225496688741722,1051.7078063186
Piacenza,47,2020-04-10,29,3049,14,695,0.22794358806166,1061.80698724021
Piacenza,48,2020-04-11,14,3063,6,701,0.228860594188704,1066.68245389202
Piacenza,49,2020-04-12,37,3100,11,712,0.22967741935483896,1079.56761575751
Piacenza,50,2020-04-13,38,3138,8,720,0.229445506692161,1092.80102524099
Piacenza,51,2020-04-14,29,3167,9,729,0.23018629617935,1102.90020616259
Piacenza,52,2020-04-15,56,3223,9,738,0.228979211914365,1122.40207276982
Piacenza,53,2020-04-16,26,3249,10,748,0.23022468451831304,1131.45651083747
Piacenza,54,2020-04-17,25,3274,5,753,0.229993891264508,1140.16270128712
Piacenza,55,2020-04-18,25,3299,9,762,0.230979084571082,1148.86889173678
Piacenza,56,2020-04-19,70,3369,15,777,0.23063223508459504,1173.2462249958196
Piacenza,57,2020-04-20,24,3393,12,789,0.232537577365164,1181.60416782749
Piacenza,58,2020-04-21,67,3460,10,799,0.230924855491329,1204.93675823257
Piacenza,59,2020-04-22,73,3533,10,809,0.22898386640249105,1230.35883434557
Piacenza,60,2020-04-23,53,3586,4,813,0.226715002788622,1248.81595809885
Piacenza,61,2020-04-24,49,3635,6,819,0.22530949105914705,1265.88009138017
Piacenza,62,2020-04-25,60,3695,9,828,0.224086603518268,1286.77494845935
Piacenza,63,2020-04-26,56,3751,5,833,0.222074113569715,1306.27681506658
Piacenza,64,2020-04-27,75,3826,10,843,0.220334553058024,1332.39538641556
Piacenza,65,2020-04-28,92,3918,10,853,0.217713118938234,1364.4341672703
Piacenza,66,2020-04-29,75,3993,8,861,0.215627347858753,1390.55273861927
Piacenza,67,2020-04-30,69,4062,5,866,0.213195470211718,1414.5818242603198
Piacenza,68,2020-05-01,53,4115,6,872,0.211907654921021,1433.0389480135998
Piacenza,69,2020-05-02,60,4175,6,878,0.210299401197605,1453.9338050927695
Piacenza,70,2020-05-03,39,4214,3,881,0.20906502135738,1467.5154621942402
Piacenza,71,2020-05-04,37,4251,7,888,0.2088920254057869,1480.4006240597305
Piacenza,72,2020-05-05,35,4286,3,891,0.207886140923938,1492.5892906892498
Piacenza,73,2020-05-06,9,4295,5,896,0.208614668218859,1495.72351925113
Piacenza,74,2020-05-07,5,4300,6,902,0.209767441860465,1497.4647573410598
Piacenza,75,2020-05-08,34,4334,8,910,0.209967697277342,1509.30517635259
Piacenza,76,2020-05-09,12,4346,5,915,0.210538426138978,1513.48414776843
Piacenza,77,2020-05-10,15,4361,5,920,0.210960788809906,1518.70786203822
Piacenza,78,2020-05-11,14,4375,7,927,0.211885714285714,1523.5833286900302
Piacenza,79,2020-05-12,11,4386,3,930,0.21203830369357,1527.4140524878799
Piacenza,80,2020-05-13,5,4391,1,931,0.212024595764063,1529.15529057781
Piacenza,81,2020-05-14,14,4405,1,932,0.211577752553916,1534.0307572296201
Piacenza,82,2020-05-15,7,4412,1,933,0.211468721668178,1536.46849055552
Piacenza,83,2020-05-16,5,4417,2,935,0.21168213719719287,1538.2097286454598
Piacenza,84,2020-05-17,5,4422,0,935,0.211442786069652,1539.95096673539
Piacenza,85,2020-05-18,11,4433,4,939,0.21182043762688896,1543.78169053324
Piacenza,86,2020-05-19,3,4436,0,939,0.211677186654644,1544.8264333872
Piacenza,87,2020-05-20,11,4447,1,940,0.211378457387002,1548.65715718504
Piacenza,88,2020-05-21,2,4449,2,942,0.21173297370195496,1549.35365242102
Piacenza,89,2020-05-22,6,4455,2,944,0.211896745230079,1551.44313812894
Piacenza,90,2020-05-23,2,4457,2,946,0.21225039264079,1552.13963336491
Piacenza,91,2020-05-24,2,4459,0,946,0.212155191747028,1552.83612860088
Piacenza,92,2020-05-25,5,4464,0,946,0.211917562724014,1554.5773666908099
Piacenza,93,2020-05-26,1,4465,0,946,0.211870100783875,1554.9256143088
Piacenza,94,2020-05-27,4,4469,1,947,0.211904229134034,1556.31860478074
Piacenza,95,2020-05-28,6,4475,1,948,0.211843575418994,1558.40809048866
Piacenza,96,2020-05-29,0,4475,0,948,0.211843575418994,1558.40809048866
Piacenza,97,2020-05-30,2,4477,0,948,0.211748939021666,1559.1045857246302
Piacenza,98,2020-05-31,10,4487,0,948,0.211277022509472,1562.5870619045002
Piacenza,99,2020-06-01,2,4489,2,950,0.211628425038984,1563.28355714047
Piacenza,100,2020-06-02,4,4493,2,952,0.211885154685066,1564.6765476124099
Piacenza,101,2020-06-03,2,4495,2,954,0.21223581757508345,1565.3730428483868
Piacenza,102,2020-06-04,1,4496,2,956,0.21263345195729536,1565.7212904663736
Piacenza,103,2020-06-05,2,4498,2,958,0.21298354824366386,1566.4177857023458
Piacenza,104,2020-06-06,2,4500,2,960,0.21333333333333326,1567.1142809383184
Piacenza,105,2020-06-07,3,4503,0,960,0.21319120586275814,1568.1590237922776
Piacenza,106,2020-06-08,3,4506,0,960,0.21304926764314247,1569.2037666462359
Piacenza,107,2020-06-09,1,4507,1,961,0.2132238739738185,1569.5520142642224
Piacenza,108,2020-06-10,7,4514,2,963,0.2133362871067789,1571.9897475901266
Piacenza,109,2020-06-11,5,4519,0,963,0.2131002434166851,1573.730985680058
Piacenza,110,2020-06-12,2,4521,1,964,0.2132271621322716,1574.4274809160306
Piacenza,111,2020-06-13,2,4523,0,964,0.21313287640946274,1575.1239761520028
Piacenza,112,2020-06-14,0,4523,0,964,0.21313287640946274,1575.1239761520028
Piacenza,113,2020-06-15,0,4523,1,965,0.21335396860490824,1575.1239761520028
Piacenza,114,2020-06-16,4,4527,1,966,0.21338634857521527,1576.5169666239483
Piacenza,115,2020-06-17,1,4528,0,966,0.21333922261484087,1576.8652142419346
Piacenza,116,2020-06-18,6,4534,0,966,0.21305690339655933,1578.9546999498525
Piacenza,117,2020-06-19,0,4534,0,966,0.21305690339655933,1578.9546999498525
Piacenza,118,2020-06-20,1,4535,0,966,0.21300992282249173,1579.3029475678384
Piacenza,119,2020-06-21,1,4536,1,967,0.21318342151675485,1579.651195185825
Piacenza,120,2020-06-22,1,4537,1,968,0.21335684372933653,1579.9994428038112
Piacenza,121,2020-06-23,1,4538,0,968,0.21330982811811366,1580.3476904217976
Piacenza,122,2020-06-24,-116,4422,0,968,0.21890547263681592,1539.9509667353875
Piacenza,123,2020-06-25,1,4423,0,968,0.2188559801040018,1540.2992143533738
Piacenza,124,2020-06-26,-24,4399,0,968,0.2200500113662196,1531.941271521703
Piacenza,125,2020-06-27,28,4427,0,968,0.2186582335667495,1541.6922048253186
Piacenza,126,2020-06-28,0,4427,0,968,0.2186582335667495,1541.6922048253186
Piacenza,127,2020-06-29,1,4428,0,968,0.2186088527551942,1542.0404524433054
Piacenza,128,2020-06-30,0,4428,1,969,0.21883468834688347,1542.0404524433054
Piacenza,129,2020-07-01,1,4429,0,969,0.21878527884398288,1542.3887000612915
Piacenza,130,2020-07-02,2,4431,0,969,0.2186865267433988,1543.0851952972641
Piacenza,131,2020-07-03,1,4432,0,969,0.21863718411552344,1543.4334429152505
Piacenza,132,2020-07-04,2,4434,0,969,0.2185385656292287,1544.129938151223
Piacenza,133,2020-07-05,1,4435,0,969,0.21848928974069887,1544.4781857692096
Piacenza,134,2020-07-06,4,4439,0,969,0.21829240820004506,1545.8711762411544
Piacenza,135,2020-07-07,2,4441,0,969,0.2181941004278316,1546.567671477127
Piacenza,136,2020-07-08,2,4443,0,969,0.21809588116137746,1547.2641667130993
Piacenza,137,2020-07-09,2,4445,0,969,0.21799775028121485,1547.9606619490726
Piacenza,138,2020-07-10,5,4450,0,969,0.21775280898876406,1549.7019000390037
Piacenza,139,2020-07-11,-1,4449,0,969,0.21780175320296696,1549.3536524210174
Piacenza,140,2020-07-12,1,4450,0,969,0.21775280898876406,1549.7019000390037
Piacenza,141,2020-07-13,2,4452,0,969,0.21765498652291104,1550.3983952749766
Piacenza,142,2020-07-14,0,4452,0,969,0.21765498652291104,1550.3983952749766
Piacenza,143,2020-07-15,-1,4451,0,969,0.21770388676701866,1550.05014765699
Piacenza,144,2020-07-16,0,4451,0,969,0.21770388676701866,1550.05014765699
Piacenza,145,2020-07-17,3,4454,0,969,0.21755725190839686,1551.0948905109494
Piacenza,146,2020-07-18,1,4455,0,969,0.2175084175084175,1551.4431381289346
Piacenza,147,2020-07-19,6,4461,0,969,0.2172158708809684,1553.532623836853
Piacenza,148,2020-07-20,1,4462,1,970,0.21739130434782608,1553.8808714548393
Piacenza,149,2020-07-21,-1,4461,0,970,0.21744003586639768,1553.532623836853
Piacenza,150,2020-07-22,2,4463,0,970,0.21734259466726416,1554.2291190728256
Piacenza,151,2020-07-23,0,4463,0,970,0.21734259466726416,1554.2291190728256
Piacenza,152,2020-07-24,1,4464,0,970,0.21729390681003585,1554.5773666908115
Piacenza,153,2020-07-25,7,4471,0,970,0.2169537016327444,1557.015100016716
Piacenza,154,2020-07-26,4,4475,0,970,0.21675977653631284,1558.408090488661
Piacenza,155,2020-07-27,5,4480,0,970,0.21651785714285715,1560.1493285785925
Piacenza,156,2020-07-28,0,4480,0,970,0.21651785714285715,1560.1493285785925
Piacenza,157,2020-07-29,0,4480,0,970,0.21651785714285715,1560.1493285785925
Piacenza,158,2020-07-30,7,4487,0,970,0.21618007577445955,1562.5870619044965
Piacenza,159,2020-07-31,5,4492,0,970,0.21593944790739086,1564.328299994428
Piacenza,160,2020-08-01,16,4508,1,971,0.21539485359361127,1569.900261882209
Piacenza,161,2020-08-02,3,4511,0,971,0.2152516071824429,1570.9450047361677
Piacenza,162,2020-08-03,-23,4488,0,971,0.2163547237076649,1562.9353095224826
Piacenza,163,2020-08-04,25,4513,0,971,0.21515621537779747,1571.6414999721399
Piacenza,164,2020-08-05,9,4522,0,971,0.2147279964617426,1574.775728534017
Piacenza,165,2020-08-06,5,4527,0,971,0.21449083278109124,1576.5169666239483
Piacenza,166,2020-08-07,6,4533,0,971,0.214206926979925,1578.6064523318662
