Province;Day;Date;New_cases;Curr_pos_cases;Deaths;Tot_deaths;Lethality_rate;Cumul_rates
Sassari;1;24/02/2020;0;0;0;0;0,000000000;100000,0
Sassari;2;25/02/2020;0;0;0;0;0,000000000;100000,0
Sassari;3;26/02/2020;0;0;0;0;0,000000000;100000,0
Sassari;4;27/02/2020;0;0;0;0;0,000000000;100000,0
Sassari;5;28/02/2020;0;0;0;0;0,000000000;100000,0
Sassari;6;29/02/2020;0;0;0;0;0,000000000;100000,0
Sassari;7;01/03/2020;0;0;0;0;0,000000000;100000,0
Sassari;8;02/03/2020;0;0;0;0;0,000000000;100000,0
Sassari;9;03/03/2020;0;0;0;0;0,000000000;100000,0
Sassari;10;04/03/2020;0;0;0;0;0,000000000;100000,0
Sassari;11;05/03/2020;0;0;0;0;0,000000000;100000,0
Sassari;12;06/03/2020;0;0;0;0;0,000000000;100000,0
Sassari;13;07/03/2020;0;0;0;0;0,000000000;100000,0
Sassari;14;08/03/2020;0;0;0;0;0,000000000;100000,0
Sassari;15;09/03/2020;1;1;0;0;0,000000000;100000,0
Sassari;16;10/03/2020;0;1;0;0;0,000000000;100000,0
Sassari;17;11/03/2020;1;2;0;0;0,000000000;100000,0
Sassari;18;12/03/2020;2;4;0;0;0,000000000;100000,0
Sassari;19;13/03/2020;0;4;0;0;0,000000000;100000,0
Sassari;20;14/03/2020;2;6;0;0;0,000000000;100000,0
Sassari;21;15/03/2020;29;35;1;1;0,028571429;100000,0
Sassari;22;16/03/2020;22;57;0;1;0,017543860;100000,0
Sassari;23;17/03/2020;6;63;0;1;0,015873016;100000,0
Sassari;24;18/03/2020;11;74;0;1;0,013513514;100000,0
Sassari;25;19/03/2020;60;134;0;1;0,007462687;100000,0
Sassari;26;20/03/2020;82;216;0;1;0,004629630;100000,0
Sassari;27;21/03/2020;35;251;4;5;0,019920319;100000,0
Sassari;28;22/03/2020;2;253;0;5;0,019762846;100000,0
Sassari;29;23/03/2020;7;260;4;9;0,034615385;100000,0
Sassari;30;24/03/2020;49;309;4;13;0,042071197;100000,0
Sassari;31;25/03/2020;9;318;2;15;0,047169811;100000,0
Sassari;32;26/03/2020;13;331;0;15;0,045317221;100000,0
Sassari;33;27/03/2020;5;336;2;17;0,050595238;100000,0
Sassari;34;28/03/2020;71;407;3;20;0,049140049;100000,0
Sassari;35;29/03/2020;8;415;0;20;0,048192771;100000,0
Sassari;36;30/03/2020;39;454;1;21;0,046255507;100000,0
Sassari;37;31/03/2020;32;486;1;22;0,045267490;100000,0
Sassari;38;01/04/2020;11;497;1;23;0,046277666;100000,0
Sassari;39;02/04/2020;31;528;4;27;0,051136364;100000,0
Sassari;40;03/04/2020;19;547;1;28;0,051188300;100000,0
Sassari;41;04/04/2020;38;585;0;28;0,047863248;100000,0
Sassari;42;05/04/2020;16;601;2;30;0,049916805;100000,0
Sassari;43;06/04/2020;9;610;4;34;0,055737705;100000,0
Sassari;44;07/04/2020;10;620;3;37;0,059677419;100000,0
Sassari;45;08/04/2020;34;654;6;43;0,065749235;100000,0
Sassari;46;09/04/2020;35;689;4;47;0,068214804;100000,0
Sassari;47;10/04/2020;17;706;3;50;0,070821530;100000,0
Sassari;48;11/04/2020;18;724;4;54;0,074585635;100000,0
Sassari;49;12/04/2020;13;737;0;54;0,073270014;100000,0
Sassari;50;13/04/2020;8;745;1;55;0,073825503;100000,0
Sassari;51;14/04/2020;4;749;2;57;0,076101469;100000,0
Sassari;52;15/04/2020;14;763;1;58;0,076015727;100000,0
Sassari;53;16/04/2020;1;764;2;60;0,078534031;100000,0
Sassari;54;17/04/2020;10;774;0;60;0,077519380;100000,0
Sassari;55;18/04/2020;15;789;0;60;0,076045627;100000,0
Sassari;56;19/04/2020;7;796;0;60;0,075376884;100000,0
Sassari;57;20/04/2020;2;798;0;60;0,075187970;100000,0
Sassari;58;21/04/2020;0;798;5;65;0,081453634;100000,0
Sassari;59;22/04/2020;6;804;2;67;0,083333333;100000,0
Sassari;60;23/04/2020;6;810;0;67;0,082716049;100000,0
Sassari;61;24/04/2020;1;811;0;67;0,082614057;100000,0
Sassari;62;25/04/2020;11;822;1;68;0,082725061;100000,0
Sassari;63;26/04/2020;6;828;6;74;0,089371981;100000,0
Sassari;64;27/04/2020;1;829;0;74;0,089264174;100000,0
Sassari;65;28/04/2020;1;830;0;74;0,089156627;100000,0
Sassari;66;29/04/2020;3;833;7;81;0,097238896;100000,0
Sassari;67;30/04/2020;3;836;0;81;0,096889952;100000,0
Sassari;68;01/05/2020;12;848;0;81;0,095518868;100000,0
Sassari;69;02/05/2020;0;848;0;81;0,095518868;100000,0
Sassari;70;03/05/2020;0;848;0;81;0,095518868;100000,0
Sassari;71;04/05/2020;0;848;0;81;0,095518868;100000,0
Sassari;72;05/05/2020;0;848;0;81;0,095518868;100000,0
Sassari;73;06/05/2020;1;849;0;81;0,095406360;100000,0
Sassari;74;07/05/2020;5;854;0;81;0,094847775;100000,0
Sassari;75;08/05/2020;6;860;0;81;0,094186047;100000,0
Sassari;76;09/05/2020;3;863;0;81;0,093858633;100000,0
Sassari;77;10/05/2020;3;866;1;82;0,094688222;100000,0
Sassari;78;11/05/2020;0;866;0;82;0,094688222;100000,0
Sassari;79;12/05/2020;0;866;0;82;0,094688222;100000,0
Sassari;80;13/05/2020;0;866;0;82;0,094688222;100000,0
Sassari;81;14/05/2020;0;866;0;82;0,094688222;100000,0
Sassari;82;15/05/2020;3;869;0;82;0,094361335;100000,0
Sassari;83;16/05/2020;2;871;0;82;0,094144661;100000,0
Sassari;84;17/05/2020;0;871;0;82;0,094144661;100000,0
Sassari;85;18/05/2020;0;871;0;82;0,094144661;100000,0
Sassari;86;19/05/2020;0;871;0;82;0,094144661;100000,0
Sassari;87;20/05/2020;1;872;0;82;0,094036697;100000,0
Sassari;88;21/05/2020;0;872;0;82;0,094036697;100000,0
Sassari;89;22/05/2020;0;872;0;82;0,094036697;100000,0
Sassari;90;23/05/2020;-1;871;1;83;0,095292767;100000,0
Sassari;91;24/05/2020;0;871;0;83;0,095292767;100000,0
Sassari;92;25/05/2020;-1;870;0;83;0,095402299;100000,0
Sassari;93;26/05/2020;0;870;0;83;0,095402299;100000,0
Sassari;94;27/05/2020;0;870;0;83;0,095402299;100000,0
Sassari;95;28/05/2020;0;870;0;83;0,095402299;100000,0
Sassari;96;29/05/2020;0;870;0;83;0,095402299;100000,0
Sassari;97;30/05/2020;0;870;0;83;0,095402299;100000,0
Sassari;98;31/05/2020;0;870;0;83;0,095402299;100000,0
Sassari;99;01/06/2020;0;870;0;83;0,095402299;100000,0
Sassari;100;02/06/2020;0;870;0;83;0,095402299;100000,0
Sassari;101;03/06/2020;0;870;0;83;0,095400000;100000,0
Sassari;102;04/06/2020;0;870;0;83;0,095402299;100000,0
Sassari;103;05/06/2020;0;870;0;83;0,095402299;100000,0
Sassari;104;06/06/2020;2;872;0;83;0,095183486;100000,0
Sassari;105;07/06/2020;0;872;0;83;0,095183486;100000,0
Sassari;106;08/06/2020;0;872;0;83;0,095183486;100000,0
Sassari;107;09/06/2020;-1;871;0;83;0,095292767;100000,0
Sassari;108;10/06/2020;0;871;0;83;0,095292767;100000,0
Sassari;109;11/06/2020;3;874;0;83;0,094965675;100000,0
Sassari;110;12/06/2020;1;875;0;83;0,094857143;100000,0
Sassari;111;13/06/2020;0;875;0;83;0,094857143;100000,0
Sassari;112;14/06/2020;0;875;0;83;0,094857143;100000,0
Sassari;113;15/06/2020;0;875;0;83;0,094857143;100000,0
Sassari;114;16/06/2020;1;876;0;83;0,094748858;100000,0
Sassari;115;17/06/2020;0;876;0;83;0,094748858;100000,0
Sassari;116;18/06/2020;0;876;0;83;0,094748858;100000,0
Sassari;117;19/06/2020;0;876;0;83;0,094748858;100000,0
Sassari;118;20/06/2020;1;877;0;83;0,094640821;100000,0
Sassari;119;21/06/2020;0;877;0;83;0,094640821;100000,0
Sassari;120;22/06/2020;0;877;0;83;0,094640821;100000,0
Sassari;121;23/06/2020;-4;873;0;83;0,095074456;100000,0
Sassari;122;24/06/2020;0;873;0;83;0,095074456;100000,0
Sassari;123;25/06/2020;0;873;0;83;0,095074456;100000,0
Sassari;124;26/06/2020;0;873;0;83;0,095074456;100000,0
Sassari;125;27/06/2020;0;873;0;83;0,095074456;100000,0
Sassari;126;28/06/2020;0;873;0;83;0,095074456;100000,0
Sassari;127;29/06/2020;0;873;0;83;0,095074456;100000,0
Sassari;128;30/06/2020;2;875;0;83;0,094857143;100000,0
Sassari;129;01/07/2020;0;875;0;83;0,094857143;100000,0
Sassari;130;02/07/2020;0;875;0;83;0,094857143;100000,0
Sassari;131;03/07/2020;1;876;0;83;0,094748858;100000,0
Sassari;132;04/07/2020;0;876;0;83;0,094748858;100000,0
Sassari;133;05/07/2020;1;877;0;83;0,094640821;100000,0
Sassari;134;06/07/2020;0;877;1;84;0,095781072;100000,0
Sassari;135;07/07/2020;0;877;0;84;0,095781072;100000,0
Sassari;136;08/07/2020;0;877;0;84;0,095781072;100000,0
Sassari;137;09/07/2020;0;877;0;84;0,095781072;100000,0
Sassari;138;10/07/2020;0;877;0;84;0,095781072;100000,0
Sassari;139;11/07/2020;0;877;0;84;0,095781072;100000,0
Sassari;140;12/07/2020;0;877;0;84;0,095781072;100000,0
Sassari;141;13/07/2020;1;878;0;84;0,095671982;100000,0
Sassari;142;14/07/2020;0;878;0;84;0,095671982;100000,0
Sassari;143;15/07/2020;0;878;0;84;0,095671982;100000,0
Sassari;144;16/07/2020;0;878;0;84;0,095671982;100000,0
Sassari;145;17/07/2020;0;878;0;84;0,095671982;100000,0
Sassari;146;18/07/2020;0;878;0;84;0,095671982;100000,0
Sassari;147;19/07/2020;1;879;0;84;0,095563140;100000,0
Sassari;148;20/07/2020;0;879;0;84;0,095563140;100000,0
Sassari;149;21/07/2020;0;879;0;84;0,095563140;100000,0
Sassari;150;22/07/2020;0;879;0;84;0,095563140;100000,0
Sassari;151;23/07/2020;1;880;0;84;0,095454545;100000,0
Sassari;152;24/07/2020;1;881;0;84;0,095346198;100000,0
Sassari;153;25/07/2020;3;884;0;84;0,095022624;100000,0
Sassari;154;26/07/2020;0;884;0;84;0,095022624;100000,0
Sassari;155;27/07/2020;-2;882;0;84;0,095238095;100000,0
Sassari;156;28/07/2020;1;883;0;84;0,095130238;100000,0
Sassari;157;29/07/2020;0;883;0;84;0,095130238;100000,0
Sassari;158;30/07/2020;0;883;0;84;0,095130238;100000,0
Sassari;159;31/07/2020;0;883;0;84;0,095130238;100000,0
Sassari;160;01/08/2020;1;884;0;84;0,095022624;100000,0
Sassari;161;02/08/2020;2;886;0;84;0,094808126;100000,0
Sassari;162;03/08/2020;1;887;0;84;0,094701240;100000,0
Sassari;163;04/08/2020;0;887;0;84;0,094701240;100000,0
Sassari;164;05/08/2020;1;888;0;84;0,094594595;100000,0
Sassari;165;06/08/2020;0;888;0;84;0,094594595;100000,0
Sassari;166;07/08/2020;0;888;0;84;0,094594595;100000,0
Sassari;167;08/08/2020;0;888;0;84;0,094594595;100000,0
Sassari;168;09/08/2020;0;888;0;84;0,094594595;100000,0
Sassari;169;10/08/2020;2;890;0;84;0,094594595;100000,0
Sassari;170;11/08/2020;8;898;0;84;0,094594595;100000,0
Sassari;171;12/08/2020;0;898;0;84;0,094594595;100000,0
Sassari;172;13/08/2020;0;898;0;84;0,094594595;100000,0
Sassari;173;14/08/2020;3;901;0;84;0,094594595;100000,0
Sassari;174;15/08/2020;0;901;0;84;0,094594595;100000,0
Sassari;175;16/08/2020;4;905;0;84;0,094594595;100000,0
Sassari;176;17/08/2020;5;910;0;84;0,092307692;100000,0
Sassari;177;18/08/2020;10;920;0;84;0,089361702;100000,0
Sassari;178;19/08/2020;20;940;0;84;0,089361702;100000,0
Sassari;179;20/08/2020;10;950;0;84;0,088421053;100000,0
Sassari;180;21/08/2020;27;977;0;84;0,085977482;100000,0
Sassari;181;22/08/2020;34;1011;0;84;0,083086053;100000,0
Sassari;182;23/08/2020;56;1067;0;84;0,078725398;100000,0
Sassari;183;24/08/2020;68;1135;0;84;0,074008811;100000,0
Sassari;184;25/08/2020;18;1153;0;84;0,072853426;100000,0
Sassari;185;26/08/2020;41;1194;0;84;0,070351759;100000,0
Sassari;186;27/08/2020;38;1232;0;84;0,068181818;100000,0
Sassari;187;28/08/2020;30;1262;0;84;0,066561014;100000,0
Sassari;188;29/08/2020;50;1312;0;84;0,064024390;100000,0
Sassari;189;30/08/2020;12;1324;0;84;0,063444109;100000,0
Sassari;190;31/08/2020;29;1353;0;84;0,062084257;100000,0
Sassari;191;01/09/2020;25;1378;0;84;0,060957910;100000,0
Sassari;192;02/09/2020;46;1424;1;85;0,058988764;100000,0
Sassari;193;03/09/2020;10;1434;0;85;0,058577406;100000,0
Sassari;194;04/09/2020;36;1470;0;85;0,057142857;100000,0
Sassari;195;05/09/2020;45;1515;0;85;0,055445545;100000,0
Sassari;196;06/09/2020;15;1530;1;86;0,054901961;100000,0
Sassari;197;07/09/2020;19;1549;0;86;0,055519690;101241,8
Sassari;198;08/09/2020;36;1585;0;86;0,054258675;103594,8
Sassari;199;09/09/2020;27;1612;2;88;0,053349876;105359,5
Sassari;200;10/09/2020;31;1643;3;91;0,052343274;107385,7
Sassari;201;11/09/2020;19;1662;0;91;0,051744886;108627,5
Sassari;202;12/09/2020;26;1688;1;92;0,050947867;110326,8
Sassari;203;13/09/2020;20;1708;0;92;0,050351288;111634,0
